id	pathway_id	pathway_name
261	hsa05205	Proteoglycans in cancer
262	hsa03010	Ribosome
263	hsa04066	HIF-1 signaling pathway
264	hsa04120	Ubiquitin mediated proteolysis
265	hsa05170	Human immunodeficiency virus 1 infection
266	hsa05200	Pathways in cancer
267	hsa05211	Renal cell carcinoma
268	hsa00190	Oxidative phosphorylation
269	hsa01100	Metabolic pathways
270	hsa04260	Cardiac muscle contraction
271	hsa04714	Thermogenesis
272	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
273	hsa05010	Alzheimer disease
274	hsa05012	Parkinson disease
275	hsa05016	Huntington disease
276	hsa00900	Terpenoid backbone biosynthesis
277	hsa03010	Ribosome
278	hsa03010	Ribosome
279	hsa04152	AMPK signaling pathway
280	hsa04921	Oxytocin signaling pathway
281	hsa03010	Ribosome
282	hsa00190	Oxidative phosphorylation
283	hsa01100	Metabolic pathways
284	hsa04145	Phagosome
285	hsa04721	Synaptic vesicle cycle
286	hsa04966	Collecting duct acid secretion
287	hsa05110	Vibrio cholerae infection
288	hsa05120	Epithelial cell signaling in Helicobacter pylori infection
289	hsa05165	Human papillomavirus infection
290	hsa05323	Rheumatoid arthritis
291	hsa03040	Spliceosome
292	hsa05203	Viral carcinogenesis
293	hsa05206	MicroRNAs in cancer
294	hsa04110	Cell cycle
295	hsa04114	Oocyte meiosis
296	hsa04120	Ubiquitin mediated proteolysis
297	hsa04657	IL-17 signaling pathway
298	hsa04914	Progesterone-mediated oocyte maturation
299	hsa05166	Human T-cell leukemia virus 1 infection
300	hsa03040	Spliceosome
301	hsa03040	Spliceosome
302	hsa03013	RNA transport
303	hsa03013	RNA transport
304	hsa03013	RNA transport
305	hsa04530	Tight junction
306	hsa04670	Leukocyte transendothelial migration
307	hsa04810	Regulation of actin cytoskeleton
308	hsa05162	Measles
309	hsa05205	Proteoglycans in cancer
310	hsa04510	Focal adhesion
311	hsa04520	Adherens junction
312	hsa04530	Tight junction
313	hsa04670	Leukocyte transendothelial migration
314	hsa04810	Regulation of actin cytoskeleton
315	hsa05146	Amoebiasis
316	hsa05203	Viral carcinogenesis
317	hsa05322	Systemic lupus erythematosus
318	hsa04726	Serotonergic synapse
319	hsa05010	Alzheimer disease
320	hsa04910	Insulin signaling pathway
321	hsa04910	Insulin signaling pathway
322	hsa04910	Insulin signaling pathway
323	hsa05412	Arrhythmogenic right ventricular cardiomyopathy (ARVC)
324	hsa04110	Cell cycle
325	hsa04110	Cell cycle
326	hsa05130	Pathogenic Escherichia coli infection
327	hsa04144	Endocytosis
328	hsa04721	Synaptic vesicle cycle
329	hsa04961	Endocrine and other factor-regulated calcium reabsorption
330	hsa05016	Huntington disease
331	hsa04144	Endocytosis
332	hsa04721	Synaptic vesicle cycle
333	hsa04961	Endocrine and other factor-regulated calcium reabsorption
334	hsa05016	Huntington disease
335	hsa04142	Lysosome
336	hsa04144	Endocytosis
337	hsa04721	Synaptic vesicle cycle
338	hsa04961	Endocrine and other factor-regulated calcium reabsorption
339	hsa05016	Huntington disease
340	hsa05100	Bacterial invasion of epithelial cells
341	hsa04144	Endocytosis
342	hsa04721	Synaptic vesicle cycle
343	hsa04961	Endocrine and other factor-regulated calcium reabsorption
344	hsa05016	Huntington disease
345	hsa03040	Spliceosome
346	hsa04014	Ras signaling pathway
347	hsa04015	Rap1 signaling pathway
348	hsa04020	Calcium signaling pathway
349	hsa04022	cGMP-PKG signaling pathway
350	hsa04024	cAMP signaling pathway
351	hsa04070	Phosphatidylinositol signaling system
352	hsa04114	Oocyte meiosis
353	hsa04218	Cellular senescence
354	hsa04261	Adrenergic signaling in cardiomyocytes
355	hsa04270	Vascular smooth muscle contraction
356	hsa04371	Apelin signaling pathway
357	hsa04625	C-type lectin receptor signaling pathway
358	hsa04713	Circadian entrainment
359	hsa04720	Long-term potentiation
360	hsa04722	Neurotrophin signaling pathway
361	hsa04728	Dopaminergic synapse
362	hsa04740	Olfactory transduction
363	hsa04744	Phototransduction
364	hsa04750	Inflammatory mediator regulation of TRP channels
365	hsa04910	Insulin signaling pathway
366	hsa04912	GnRH signaling pathway
367	hsa04915	Estrogen signaling pathway
368	hsa04916	Melanogenesis
369	hsa04921	Oxytocin signaling pathway
370	hsa04922	Glucagon signaling pathway
371	hsa04924	Renin secretion
372	hsa04925	Aldosterone synthesis and secretion
373	hsa04970	Salivary secretion
374	hsa04971	Gastric acid secretion
375	hsa05010	Alzheimer disease
376	hsa05031	Amphetamine addiction
377	hsa05034	Alcoholism
378	hsa05133	Pertussis
379	hsa05152	Tuberculosis
380	hsa05163	Human cytomegalovirus infection
381	hsa05167	Kaposi sarcoma-associated herpesvirus infection
382	hsa05170	Human immunodeficiency virus 1 infection
383	hsa05200	Pathways in cancer
384	hsa05214	Glioma
385	hsa05418	Fluid shear stress and atherosclerosis
386	hsa04014	Ras signaling pathway
387	hsa04015	Rap1 signaling pathway
388	hsa04020	Calcium signaling pathway
389	hsa04022	cGMP-PKG signaling pathway
390	hsa04024	cAMP signaling pathway
391	hsa04070	Phosphatidylinositol signaling system
392	hsa04114	Oocyte meiosis
393	hsa04218	Cellular senescence
394	hsa04261	Adrenergic signaling in cardiomyocytes
395	hsa04270	Vascular smooth muscle contraction
396	hsa04371	Apelin signaling pathway
397	hsa04625	C-type lectin receptor signaling pathway
398	hsa04713	Circadian entrainment
399	hsa04720	Long-term potentiation
400	hsa04722	Neurotrophin signaling pathway
401	hsa04728	Dopaminergic synapse
402	hsa04740	Olfactory transduction
403	hsa04744	Phototransduction
404	hsa04750	Inflammatory mediator regulation of TRP channels
405	hsa04910	Insulin signaling pathway
406	hsa04912	GnRH signaling pathway
407	hsa04915	Estrogen signaling pathway
408	hsa04916	Melanogenesis
409	hsa04921	Oxytocin signaling pathway
410	hsa04922	Glucagon signaling pathway
411	hsa04924	Renin secretion
412	hsa04925	Aldosterone synthesis and secretion
413	hsa04970	Salivary secretion
414	hsa04971	Gastric acid secretion
415	hsa05010	Alzheimer disease
416	hsa05031	Amphetamine addiction
417	hsa05034	Alcoholism
418	hsa05133	Pertussis
419	hsa05152	Tuberculosis
420	hsa05163	Human cytomegalovirus infection
421	hsa05167	Kaposi sarcoma-associated herpesvirus infection
422	hsa05170	Human immunodeficiency virus 1 infection
423	hsa05200	Pathways in cancer
424	hsa05214	Glioma
425	hsa05418	Fluid shear stress and atherosclerosis
426	hsa00590	Arachidonic acid metabolism
427	hsa01100	Metabolic pathways
428	hsa00970	Aminoacyl-tRNA biosynthesis
429	hsa00970	Aminoacyl-tRNA biosynthesis
430	hsa04137	Mitophagy - animal
431	hsa04144	Endocytosis
432	hsa05012	Parkinson disease
433	hsa05167	Kaposi sarcoma-associated herpesvirus infection
434	hsa04015	Rap1 signaling pathway
435	hsa04810	Regulation of actin cytoskeleton
436	hsa05131	Shigellosis
437	hsa05132	Salmonella infection
438	hsa04514	Cell adhesion molecules (CAMs)
439	hsa04520	Adherens junction
440	hsa04910	Insulin signaling pathway
441	hsa04931	Insulin resistance
442	hsa04514	Cell adhesion molecules (CAMs)
443	hsa04520	Adherens junction
444	hsa04910	Insulin signaling pathway
445	hsa04931	Insulin resistance
446	hsa04514	Cell adhesion molecules (CAMs)
447	hsa04520	Adherens junction
448	hsa04910	Insulin signaling pathway
449	hsa04931	Insulin resistance
450	hsa04110	Cell cycle
451	hsa04114	Oocyte meiosis
452	hsa04151	PI3K-Akt signaling pathway
453	hsa04390	Hippo signaling pathway
454	hsa05130	Pathogenic Escherichia coli infection
455	hsa05160	Hepatitis C
456	hsa05161	Hepatitis B
457	hsa05203	Viral carcinogenesis
458	hsa04110	Cell cycle
459	hsa04114	Oocyte meiosis
460	hsa04151	PI3K-Akt signaling pathway
461	hsa04390	Hippo signaling pathway
462	hsa05130	Pathogenic Escherichia coli infection
463	hsa05160	Hepatitis C
464	hsa05161	Hepatitis B
465	hsa05203	Viral carcinogenesis
466	hsa04110	Cell cycle
467	hsa04114	Oocyte meiosis
468	hsa04151	PI3K-Akt signaling pathway
469	hsa04390	Hippo signaling pathway
470	hsa05130	Pathogenic Escherichia coli infection
471	hsa05160	Hepatitis C
472	hsa05161	Hepatitis B
473	hsa05203	Viral carcinogenesis
474	hsa04110	Cell cycle
475	hsa04114	Oocyte meiosis
476	hsa04151	PI3K-Akt signaling pathway
477	hsa04390	Hippo signaling pathway
478	hsa05130	Pathogenic Escherichia coli infection
479	hsa05160	Hepatitis C
480	hsa05161	Hepatitis B
481	hsa05203	Viral carcinogenesis
482	hsa04146	Peroxisome
483	hsa04213	Longevity regulating pathway - multiple species
484	hsa05014	Amyotrophic lateral sclerosis (ALS)
485	hsa05016	Huntington disease
486	hsa05020	Prion diseases
487	hsa04666	Fc gamma R-mediated phagocytosis
488	hsa05140	Leishmaniasis
489	hsa04068	FoxO signaling pathway
490	hsa04136	Autophagy - other
491	hsa04137	Mitophagy - animal
492	hsa04140	Autophagy - animal
493	hsa04371	Apelin signaling pathway
494	hsa04621	NOD-like receptor signaling pathway
495	hsa04727	GABAergic synapse
496	hsa05167	Kaposi sarcoma-associated herpesvirus infection
497	hsa03013	RNA transport
498	hsa00220	Arginine biosynthesis
499	hsa00250	Alanine, aspartate and glutamate metabolism
500	hsa00630	Glyoxylate and dicarboxylate metabolism
501	hsa00910	Nitrogen metabolism
502	hsa01100	Metabolic pathways
503	hsa01230	Biosynthesis of amino acids
504	hsa04217	Necroptosis
505	hsa04724	Glutamatergic synapse
506	hsa04727	GABAergic synapse
507	hsa00010	Glycolysis / Gluconeogenesis
508	hsa00270	Cysteine and methionine metabolism
509	hsa00620	Pyruvate metabolism
510	hsa00640	Propanoate metabolism
511	hsa01100	Metabolic pathways
512	hsa04066	HIF-1 signaling pathway
513	hsa04922	Glucagon signaling pathway
514	hsa05230	Central carbon metabolism in cancer
515	hsa04141	Protein processing in endoplasmic reticulum
516	hsa04014	Ras signaling pathway
517	hsa04015	Rap1 signaling pathway
518	hsa04020	Calcium signaling pathway
519	hsa04022	cGMP-PKG signaling pathway
520	hsa04024	cAMP signaling pathway
521	hsa04070	Phosphatidylinositol signaling system
522	hsa04114	Oocyte meiosis
523	hsa04218	Cellular senescence
524	hsa04261	Adrenergic signaling in cardiomyocytes
525	hsa04270	Vascular smooth muscle contraction
526	hsa04371	Apelin signaling pathway
527	hsa04625	C-type lectin receptor signaling pathway
528	hsa04713	Circadian entrainment
529	hsa04720	Long-term potentiation
530	hsa04722	Neurotrophin signaling pathway
531	hsa04728	Dopaminergic synapse
532	hsa04740	Olfactory transduction
533	hsa04744	Phototransduction
534	hsa04750	Inflammatory mediator regulation of TRP channels
535	hsa04910	Insulin signaling pathway
536	hsa04912	GnRH signaling pathway
537	hsa04915	Estrogen signaling pathway
538	hsa04916	Melanogenesis
539	hsa04921	Oxytocin signaling pathway
540	hsa04922	Glucagon signaling pathway
541	hsa04924	Renin secretion
542	hsa04925	Aldosterone synthesis and secretion
543	hsa04970	Salivary secretion
544	hsa04971	Gastric acid secretion
545	hsa05010	Alzheimer disease
546	hsa05031	Amphetamine addiction
547	hsa05034	Alcoholism
548	hsa05133	Pertussis
549	hsa05152	Tuberculosis
550	hsa05163	Human cytomegalovirus infection
551	hsa05167	Kaposi sarcoma-associated herpesvirus infection
552	hsa05170	Human immunodeficiency virus 1 infection
553	hsa05200	Pathways in cancer
554	hsa05214	Glioma
555	hsa05418	Fluid shear stress and atherosclerosis
556	hsa04141	Protein processing in endoplasmic reticulum
557	hsa04014	Ras signaling pathway
558	hsa04015	Rap1 signaling pathway
559	hsa04020	Calcium signaling pathway
560	hsa04022	cGMP-PKG signaling pathway
561	hsa04024	cAMP signaling pathway
562	hsa04070	Phosphatidylinositol signaling system
563	hsa04114	Oocyte meiosis
564	hsa04218	Cellular senescence
565	hsa04261	Adrenergic signaling in cardiomyocytes
566	hsa04270	Vascular smooth muscle contraction
567	hsa04371	Apelin signaling pathway
568	hsa04625	C-type lectin receptor signaling pathway
569	hsa04713	Circadian entrainment
570	hsa04720	Long-term potentiation
571	hsa04722	Neurotrophin signaling pathway
572	hsa04728	Dopaminergic synapse
573	hsa04740	Olfactory transduction
574	hsa04744	Phototransduction
575	hsa04750	Inflammatory mediator regulation of TRP channels
576	hsa04910	Insulin signaling pathway
577	hsa04912	GnRH signaling pathway
578	hsa04915	Estrogen signaling pathway
579	hsa04916	Melanogenesis
580	hsa04921	Oxytocin signaling pathway
581	hsa04922	Glucagon signaling pathway
582	hsa04924	Renin secretion
583	hsa04925	Aldosterone synthesis and secretion
584	hsa04970	Salivary secretion
585	hsa04971	Gastric acid secretion
586	hsa05010	Alzheimer disease
587	hsa05031	Amphetamine addiction
588	hsa05034	Alcoholism
589	hsa05133	Pertussis
590	hsa05152	Tuberculosis
591	hsa05163	Human cytomegalovirus infection
592	hsa05167	Kaposi sarcoma-associated herpesvirus infection
593	hsa05170	Human immunodeficiency virus 1 infection
594	hsa05200	Pathways in cancer
595	hsa05214	Glioma
596	hsa05418	Fluid shear stress and atherosclerosis
597	hsa04141	Protein processing in endoplasmic reticulum
598	hsa04020	Calcium signaling pathway
599	hsa04022	cGMP-PKG signaling pathway
600	hsa04217	Necroptosis
601	hsa04218	Cellular senescence
602	hsa05012	Parkinson disease
603	hsa05016	Huntington disease
604	hsa05166	Human T-cell leukemia virus 1 infection
605	hsa04142	Lysosome
606	hsa04614	Renin-angiotensin system
607	hsa04142	Lysosome
608	hsa05205	Proteoglycans in cancer
609	hsa04141	Protein processing in endoplasmic reticulum
610	hsa05164	Influenza A
611	hsa04141	Protein processing in endoplasmic reticulum
612	hsa05164	Influenza A
613	hsa04120	Ubiquitin mediated proteolysis
614	hsa04141	Protein processing in endoplasmic reticulum
615	hsa04120	Ubiquitin mediated proteolysis
616	hsa04141	Protein processing in endoplasmic reticulum
617	hsa04120	Ubiquitin mediated proteolysis
618	hsa04141	Protein processing in endoplasmic reticulum
619	hsa04141	Protein processing in endoplasmic reticulum
620	hsa04932	Non-alcoholic fatty liver disease (NAFLD)
621	hsa04142	Lysosome
622	hsa03010	Ribosome
623	hsa04662	B cell receptor signaling pathway
624	hsa05144	Malaria
625	hsa05160	Hepatitis C
626	hsa04120	Ubiquitin mediated proteolysis
627	hsa05012	Parkinson disease
628	hsa03410	Base excision repair
629	hsa04140	Autophagy - animal
630	hsa04217	Necroptosis
631	hsa03410	Base excision repair
632	hsa04140	Autophagy - animal
633	hsa04217	Necroptosis
634	hsa00620	Pyruvate metabolism
635	hsa04120	Ubiquitin mediated proteolysis
636	hsa05012	Parkinson disease
637	hsa04120	Ubiquitin mediated proteolysis
638	hsa05012	Parkinson disease
639	hsa04120	Ubiquitin mediated proteolysis
640	hsa05012	Parkinson disease
641	hsa03040	Spliceosome
642	hsa03040	Spliceosome
643	hsa05134	Legionellosis
644	hsa03018	RNA degradation
645	hsa05152	Tuberculosis
646	hsa03018	RNA degradation
647	hsa05152	Tuberculosis
648	hsa03018	RNA degradation
649	hsa05152	Tuberculosis
650	hsa04110	Cell cycle
651	hsa04114	Oocyte meiosis
652	hsa04151	PI3K-Akt signaling pathway
653	hsa04390	Hippo signaling pathway
654	hsa05130	Pathogenic Escherichia coli infection
655	hsa05160	Hepatitis C
656	hsa05161	Hepatitis B
657	hsa05203	Viral carcinogenesis
658	hsa03015	mRNA surveillance pathway
659	hsa04071	Sphingolipid signaling pathway
660	hsa04114	Oocyte meiosis
661	hsa04151	PI3K-Akt signaling pathway
662	hsa04152	AMPK signaling pathway
663	hsa04261	Adrenergic signaling in cardiomyocytes
664	hsa04350	TGF-beta signaling pathway
665	hsa04390	Hippo signaling pathway
666	hsa04530	Tight junction
667	hsa04728	Dopaminergic synapse
668	hsa04730	Long-term depression
669	hsa05142	Chagas disease (American trypanosomiasis)
670	hsa05160	Hepatitis C
671	hsa05165	Human papillomavirus infection
672	hsa04666	Fc gamma R-mediated phagocytosis
673	hsa04810	Regulation of actin cytoskeleton
674	hsa05203	Viral carcinogenesis
675	hsa00010	Glycolysis / Gluconeogenesis
676	hsa00051	Fructose and mannose metabolism
677	hsa00052	Galactose metabolism
678	hsa00500	Starch and sucrose metabolism
679	hsa00520	Amino sugar and nucleotide sugar metabolism
680	hsa00524	Neomycin, kanamycin and gentamicin biosynthesis
681	hsa01100	Metabolic pathways
682	hsa01200	Carbon metabolism
683	hsa04066	HIF-1 signaling pathway
684	hsa04910	Insulin signaling pathway
685	hsa04930	Type II diabetes mellitus
686	hsa04973	Carbohydrate digestion and absorption
687	hsa05230	Central carbon metabolism in cancer
688	hsa05110	Vibrio cholerae infection
689	hsa05110	Vibrio cholerae infection
690	hsa05110	Vibrio cholerae infection
691	hsa04142	Lysosome
692	hsa04979	Cholesterol metabolism
693	hsa04962	Vasopressin-regulated water reabsorption
694	hsa04142	Lysosome
695	hsa04142	Lysosome
696	hsa04141	Protein processing in endoplasmic reticulum
697	hsa00220	Arginine biosynthesis
698	hsa00250	Alanine, aspartate and glutamate metabolism
699	hsa00270	Cysteine and methionine metabolism
700	hsa00330	Arginine and proline metabolism
701	hsa00350	Tyrosine metabolism
702	hsa00360	Phenylalanine metabolism
703	hsa00400	Phenylalanine, tyrosine and tryptophan biosynthesis
704	hsa01100	Metabolic pathways
705	hsa01200	Carbon metabolism
706	hsa01210	2-Oxocarboxylic acid metabolism
707	hsa01230	Biosynthesis of amino acids
708	hsa04975	Fat digestion and absorption
709	hsa00071	Fatty acid degradation
710	hsa01100	Metabolic pathways
711	hsa01212	Fatty acid metabolism
712	hsa04110	Cell cycle
713	hsa04114	Oocyte meiosis
714	hsa04120	Ubiquitin mediated proteolysis
715	hsa04141	Protein processing in endoplasmic reticulum
716	hsa04310	Wnt signaling pathway
717	hsa04350	TGF-beta signaling pathway
718	hsa04710	Circadian rhythm
719	hsa05170	Human immunodeficiency virus 1 infection
