pathway	gene1	gene2
hsa05110	PRKCA	PLCG1
hsa05110	PRKCA	PLCG1
hsa05110	PRKCA	PLCG1
hsa05110	PRKCA	PLCG1
hsa05110	PRKCA	PLCG1
hsa05110	ERO1A	PDIA4
hsa05110	GNAS	ADCY3
hsa05110	PRKACA	CFTR
hsa05110	PRKACA	CFTR
hsa05110	PRKCA	ACTB
hsa05110	PRKCA	ACTB
hsa05134	APAF1	CASP9
hsa05134	CYCS	CASP9
hsa05134	CASP9	CASP3
hsa05134	EEF1A1	HSF1
hsa05134	CASP1	IL18
hsa05134	CASP1	IL1B
hsa05134	NAIP	CASP7
hsa05134	NAIP	CASP7
hsa05134	NAIP	CASP1
hsa05134	NAIP	CASP1
hsa05134	CASP1	CASP7
hsa05134	CASP1	CASP7
hsa05134	CD14	TLR2
hsa05134	CD14	TLR4
hsa05134	TLR5	MYD88
hsa05134	TLR2	MYD88
hsa05134	TLR4	MYD88
hsa05134	C3	CR1
hsa05134	NFKBIA	NFKB1
hsa05134	HSF1	HSPA1A
hsa05134	MYD88	TNF
hsa05134	MYD88	TNF
hsa05134	MYD88	IL1B
hsa05134	MYD88	IL1B
hsa05134	MYD88	IL6
hsa05134	MYD88	IL6
hsa05134	MYD88	IL12A
hsa05134	MYD88	IL12A
hsa05134	MYD88	CXCL8
hsa05134	MYD88	CXCL8
hsa05134	MYD88	CXCL1
hsa05134	MYD88	CXCL1
hsa04144	RNF41	EGFR
hsa04144	RBSN	RAB4A
hsa04144	RAB4A	RUFY1
hsa04144	EHD3	RBSN
hsa04144	RBSN	EHD1
hsa04144	EHD1	RAB11FIP2
hsa04144	RAB11FIP2	RAB11A
hsa04144	MVB12B	PDCD6IP
hsa04144	CHMP4B	PDCD6IP
hsa04144	HGS	STAM2
hsa04144	VPS4A	VTA1
hsa04144	CHMP5	VPS4A
hsa04144	CHMP1A	CHMP2B
hsa04144	CHMP7	CHMP4B
hsa04144	TGFBR1	SMAD2
hsa04144	SRC	CAV1
hsa04144	RHOA	IL2RA
hsa04144	VPS45	RBSN
hsa04141	SEC31A	SEC24B
hsa04141	SEC31A	SAR1B
hsa04141	EIF2AK1	EIF2S1
hsa04141	EIF2AK1	EIF2S1
hsa04141	EIF2S1	ATF4
hsa04141	EIF2AK1	NFE2L2
hsa04141	NFE2L2	DDIT3
hsa04141	ATF4	DDIT3
hsa04141	ATF6B	DDIT3
hsa04141	ERN1	TRAF2
hsa04141	TRAF2	MAP3K5
hsa04141	MAP3K5	MAP2K7
hsa04141	MAP2K7	MAPK8
hsa04141	CAPN1	CASP12
hsa04141	ERN1	XBP1
hsa04141	XBP1	DDIT3
hsa04141	ATF4	PPP1R15A
hsa04141	PPP1R15A	EIF2S1
hsa04141	PPP1R15A	EIF2S1
hsa04141	DDIT3	BCL2
hsa04141	BCL2	BAK1
hsa04141	ERO1A	PDIA6
hsa04141	NPLOC4	VCP
hsa04141	PREB	SAR1B
hsa04141	SVIP	NSFL1C
hsa04141	SVIP	VCP
hsa04141	WFS1	ATF6B
hsa04141	NPLOC4	UFD1
hsa04141	SVIP	NPLOC4
hsa04141	BAK1	CAPN1
hsa04141	NSFL1C	VCP
hsa04145	TUBA1B	TUBB3
hsa04612	HLA-A	HLA-A
hsa04612	HLA-A	HLA-A
hsa04612	HLA-A	HLA-A
hsa04612	HLA-A	HLA-A
hsa04612	HLA-DMA	HLA-DMA
hsa04612	HLA-DMA	HLA-DMA
hsa04612	CD74	CD74
hsa04612	CD74	CD74
hsa04612	CD74	CD74
hsa04612	IFNG	PSME3
hsa04612	TNF	PSME3
hsa04612	CIITA	RFX5...
hsa04612	CIITA	CREB1
hsa04612	CIITA	NFYA
hsa04612	HLA-A	KIR2DS2
hsa04612	CD8A	HLA-A
hsa04612	CD4	HLA-DMA
hsa04612	HLA-DMA	CD74
hsa04612	CTSB	CD74
hsa04612	LGMN	CD74
hsa04612	TAPBP	HLA-A
hsa04612	TAPBP	TAP1
hsa04918	CGA	TSHR
hsa04918	TSHR	GNAS
hsa04918	GNAS	ADCY1
hsa04918	ADCY1	C00575
hsa04918	C00575	PRKACA
hsa04918	PRKACA	TTF1
hsa04918	PRKACA	TTF2
hsa04918	PRKACA	PAX8
hsa04918	PRKACA	CREB3
hsa04918	TSHR	GNAQ
hsa04918	GNAQ	PLCB1
hsa04918	PLCB1	C00165
hsa04918	C00165	PRKCA
hsa04918	PRKCA	TTF1
hsa04918	PRKCA	TTF2
hsa04918	PRKCA	PAX8
hsa04918	PRKCA	CREB3
hsa04918	PLCB1	C01245
hsa04918	C01245	ITPR1
hsa04918	TTF1	TG
hsa04918	TTF2	TG
hsa04918	PAX8	TG
hsa04918	CREB3	TG
hsa04918	ASGR1	TG
hsa04918	DUOXA2	DUOX2
hsa04918	C02515	TG
hsa04918	C01060	TG
hsa04918	C02515	TG
hsa04918	C01060	TG
hsa04918	C02465	TG
hsa04918	C01829	TG
hsa04918	C02515	TG
hsa04918	C01060	TG
hsa04918	C02465	TG
hsa04918	C01829	TG
hsa04918	LRP2	TG
hsa05166	ITGAL	ICAM1
hsa05166	ICAM1	ITGAL
hsa05166	B2M	HLA-A
hsa05166	ICAM1	HRAS
hsa05166	HRAS	MAP2K1
hsa05166	MAP2K1	MAPK1
hsa05166	IL2RB	JAK1
hsa05166	PIK3CA	C05981
hsa05166	C05981	AKT3
hsa05166	DLG1	PTEN
hsa05166	IKBKG	CHUK
hsa05166	CHUK	NFKB2
hsa05166	ADCY1	C00575
hsa05166	C00575	PRKACA
hsa05166	AKT3	JUN
hsa05166	AKT3	JUN
hsa05166	TNFRSF1A	MAP3K1
hsa05166	TNFRSF1A	MAP3K1
hsa05166	TNFRSF1A	MAP3K3
hsa05166	TNFRSF1A	MAP3K3
hsa05166	IL1R1	MAP3K3
hsa05166	IL1R1	MAP3K3
hsa05166	CD3D	MAP3K3
hsa05166	CD3D	MAP3K3
hsa05166	LTBR	MAP3K14
hsa05166	LTBR	MAP3K14
hsa05166	CD40	MAP3K14
hsa05166	CD40	MAP3K14
hsa05166	TNFRSF13C	MAP3K14
hsa05166	TNFRSF13C	MAP3K14
hsa05166	TGFB1	TGFBR1
hsa05166	MYC	CCND2
hsa05166	NFATC1	IL2
hsa05166	STAT5A	IL2
hsa05166	NFYB	HLA-DMA
hsa05166	CREB3	CCND1
hsa05166	TCF3	POLB
hsa05166	TCF3	LCK
hsa05166	TCF3	BAX
hsa05166	TCF3	CDKN2C
hsa05166	MYC	TERT
hsa05166	FDPS	HRAS
hsa05166	FDPS	HRAS
hsa05166	PTTG2...	ESPL1
hsa05166	MAP3K1	MAP2K4
hsa05166	MAP3K1	MAP2K4
hsa05166	MAP2K4	MAPK8
hsa05166	MAP2K4	MAPK8
hsa05166	MAPK8	JUN
hsa05166	MAPK8	JUN
hsa05166	MAP3K14	CHUK
hsa05166	MAP3K14	CHUK
hsa05166	TGFBR1	SMAD2
hsa05166	TGFBR1	SMAD2
hsa05166	PRKACA	CREB3
hsa05166	PRKACA	CREB3
hsa05166	RB1	E2F1
hsa05166	CALR	C00076
hsa05166	CALR	C00076
hsa05166	CANX	C00076
hsa05166	CANX	C00076
hsa05166	C00076	PPP3CA
hsa05166	PPP3CA	NFATC1
hsa05166	PPP3CA	NFATC1
hsa05166	JAK1	STAT5A
hsa05166	JAK1	STAT5A
hsa05166	ATM	CHEK1
hsa05166	ATM	CHEK1
hsa05166	CHEK1	TP53
hsa05166	CHEK1	TP53
hsa05166	ANAPC10	PTTG2...
hsa05166	ANAPC10	PTTG2...
hsa05166	ANAPC10	CCNB2
hsa05166	ANAPC10	CCNB2
hsa05166	MAD2L1	CDC20
hsa05166	BUB1B	JUN
hsa05166	JUN	MMP7
hsa05166	NFKB1	IL2
hsa05166	NFKB1	IL2RA
hsa05166	NFKB1	IL15
hsa05166	NFKB1	IL15RA
hsa05166	NFKB1	IL6
hsa05166	NFKB1	CSF2
hsa05166	NFKB1	LTA
hsa05166	NFKB1	BCL2L1
hsa05166	NFKB1	XIAP
hsa05166	NFKB2	IL2
hsa05166	NFKB2	IL2RA
hsa05166	NFKB2	IL15
hsa05166	NFKB2	IL15RA
hsa05166	NFKB2	IL6
hsa05166	NFKB2	CSF2
hsa05166	NFKB2	LTA
hsa05166	NFKB2	BCL2L1
hsa05166	NFKB2	XIAP
hsa05166	TNF	TNFRSF1A
hsa05166	TP53	CDKN1A
hsa05166	PTEN	C05981
hsa05166	NFKBIA	NFKB1
hsa00230	PGM2	PRPS1L1
hsa00230	PGM2	NUDT5
hsa00230	PRPS1L1	NUDT5
hsa00230	PRPS1L1	PPAT
hsa00230	PPAT	GART
hsa00230	GART	GART
hsa00230	GART	PFAS
hsa00230	PFAS	GART
hsa00230	GART	PAICS
hsa00230	PAICS	PAICS
hsa00230	PAICS	ADSL
hsa00230	ADSL	APRT
hsa00230	ADSL	ATIC
hsa00230	APRT	ATIC
hsa00230	ATIC	ATIC
hsa00230	ADSL	Histidine metabolism
hsa00230	Histidine metabolism	APRT
hsa00230	ATIC	Histidine metabolism
hsa00230	PAPSS2	PAPSS2
hsa00230	NME6	ITPA
hsa00230	AMPD1	ADSSL1
hsa00230	AMPD1	ATIC
hsa00230	AMPD1	ITPA
hsa00230	AMPD1	CANT1
hsa00230	AMPD1	ENTPD8
hsa00230	AMPD1	IMPDH1
hsa00230	AMPD1	HPRT1
hsa00230	AMPD1	NT5C1B-RDH14
hsa00230	ADSSL1	ATIC
hsa00230	ADSSL1	ITPA
hsa00230	ADSSL1	CANT1
hsa00230	ADSSL1	ENTPD8
hsa00230	ADSSL1	IMPDH1
hsa00230	ADSSL1	HPRT1
hsa00230	ADSSL1	NT5C1B-RDH14
hsa00230	ATIC	ITPA
hsa00230	ATIC	CANT1
hsa00230	ATIC	ENTPD8
hsa00230	ATIC	IMPDH1
hsa00230	ATIC	HPRT1
hsa00230	ATIC	NT5C1B-RDH14
hsa00230	ITPA	CANT1
hsa00230	ITPA	ENTPD8
hsa00230	ITPA	IMPDH1
hsa00230	ITPA	HPRT1
hsa00230	ITPA	NT5C1B-RDH14
hsa00230	CANT1	IMPDH1
hsa00230	CANT1	HPRT1
hsa00230	CANT1	NT5C1B-RDH14
hsa00230	ENTPD8	IMPDH1
hsa00230	ENTPD8	HPRT1
hsa00230	ENTPD8	NT5C1B-RDH14
hsa00230	IMPDH1	HPRT1
hsa00230	IMPDH1	NT5C1B-RDH14
hsa00230	HPRT1	NT5C1B-RDH14
hsa00230	ADSSL1	ADSL
hsa00230	NT5C1B-RDH14	ADA...
hsa00230	NT5C1B-RDH14	PNP
hsa00230	ADA...	PNP
hsa00230	PNP	XDH
hsa00230	PNP	XDH
hsa00230	PNP	HPRT1
hsa00230	PNP	XDH
hsa00230	PNP	XDH
hsa00230	PNP	HPRT1
hsa00230	XDH	HPRT1
hsa00230	XDH	HPRT1
hsa00230	AMPD1	ENTPD8
hsa00230	AMPD1	AK6
hsa00230	AMPD1	APRT
hsa00230	AMPD1	NT5C1B-RDH14
hsa00230	AMPD1	ADK
hsa00230	AMPD1	DCK
hsa00230	ENTPD8	APRT
hsa00230	ENTPD8	NT5C1B-RDH14
hsa00230	ENTPD8	ADK
hsa00230	ENTPD8	DCK
hsa00230	AK6	APRT
hsa00230	AK6	NT5C1B-RDH14
hsa00230	AK6	ADK
hsa00230	AK6	DCK
hsa00230	APRT	NT5C1B-RDH14
hsa00230	APRT	ADK
hsa00230	APRT	DCK
hsa00230	NT5C1B-RDH14	ADA...
hsa00230	NT5C1B-RDH14	PNP
hsa00230	DCK	ADA...
hsa00230	DCK	PNP
hsa00230	ADK	ADA...
hsa00230	ADK	PNP
hsa00230	ADA...	PNP
hsa00230	PNP	APRT
hsa00230	APRT	PNP
hsa00230	ENTPD8	RRM2B
hsa00230	ENTPD8	PKLR
hsa00230	ENTPD8	NME6
hsa00230	ENTPD8	ENTPD8
hsa00230	ENTPD8	ENTPD2
hsa00230	ENTPD8	NTPCR
hsa00230	AK6	RRM2B
hsa00230	AK6	PKLR
hsa00230	AK6	NME6
hsa00230	AK6	ENTPD8
hsa00230	AK6	ENTPD2
hsa00230	AK6	NTPCR
hsa00230	RRM2B	PKLR
hsa00230	RRM2B	NME6
hsa00230	RRM2B	ENTPD8
hsa00230	RRM2B	ENTPD2
hsa00230	RRM2B	NTPCR
hsa00230	RRM2B	NME6
hsa00230	RRM2B	PKLR
hsa00230	RRM2B	AK6
hsa00230	NME6	AK6
hsa00230	PKLR	AK6
hsa00230	AK6	NT5C1B-RDH14
hsa00230	NT5C1B-RDH14	ADA
hsa00230	PNP	NT5C1B-RDH14
hsa00230	PNP	ADA
hsa00230	ADA	PNP
hsa00230	ENTPD2	ADCY1
hsa00230	ENTPD8	ADCY1
hsa00230	NTPCR	ADCY1
hsa00230	PKLR	ADCY1
hsa00230	PDE10A	ADCY1
hsa00230	ITPA	NME6
hsa00230	ITPA	ENTPD8
hsa00230	NME6	CANT1
hsa00230	NME6	ENTPD8
hsa00230	ENTPD8	CANT1
hsa00230	ENTPD8	ENTPD8
hsa00230	GMPR	IMPDH1
hsa00230	GMPR	HPRT1
hsa00230	GMPR	NT5C1B-RDH14
hsa00230	GMPR	AMPD1
hsa00230	GMPR	ADSSL1
hsa00230	GMPR	ATIC
hsa00230	GMPR	ITPA
hsa00230	GMPR	CANT1
hsa00230	GMPR	ENTPD8
hsa00230	NT5C1B-RDH14	ITPA
hsa00230	NT5C1B-RDH14	GMPS
hsa00230	NT5C1B-RDH14	IMPDH1
hsa00230	NT5C1B-RDH14	HPRT1
hsa00230	ITPA	GMPS
hsa00230	ITPA	IMPDH1
hsa00230	ITPA	HPRT1
hsa00230	GMPS	IMPDH1
hsa00230	GMPS	HPRT1
hsa00230	IMPDH1	HPRT1
hsa00230	PNP	NT5C1B-RDH14
hsa00230	PNP	HPRT1
hsa00230	PNP	XDH
hsa00230	PNP	XDH
hsa00230	PNP	XDH
hsa00230	PNP	XDH
hsa00230	PNP	GDA
hsa00230	HPRT1	XDH
hsa00230	HPRT1	XDH
hsa00230	HPRT1	XDH
hsa00230	HPRT1	XDH
hsa00230	HPRT1	GDA
hsa00230	XDH	XDH
hsa00230	XDH	GDA
hsa00230	XDH	XDH
hsa00230	XDH	GDA
hsa00230	XDH	GDA
hsa00230	XDH	GDA
hsa00230	NUDT2	ITPA
hsa00230	GMPS	GMPR
hsa00230	GMPS	PDE10A
hsa00230	GMPS	ITPA
hsa00230	GMPS	ENTPD8
hsa00230	GMPS	CANT1
hsa00230	GMPS	GUK1
hsa00230	GMPS	APRT
hsa00230	GMPS	HPRT1
hsa00230	GMPS	NT5C1B-RDH14
hsa00230	GMPR	PDE10A
hsa00230	GMPR	ITPA
hsa00230	GMPR	ENTPD8
hsa00230	GMPR	CANT1
hsa00230	GMPR	GUK1
hsa00230	GMPR	APRT
hsa00230	GMPR	HPRT1
hsa00230	GMPR	NT5C1B-RDH14
hsa00230	PDE10A	ITPA
hsa00230	PDE10A	ENTPD8
hsa00230	PDE10A	CANT1
hsa00230	PDE10A	GUK1
hsa00230	PDE10A	APRT
hsa00230	PDE10A	HPRT1
hsa00230	PDE10A	NT5C1B-RDH14
hsa00230	ITPA	ENTPD8
hsa00230	ITPA	CANT1
hsa00230	ITPA	GUK1
hsa00230	ITPA	APRT
hsa00230	ITPA	HPRT1
hsa00230	ITPA	NT5C1B-RDH14
hsa00230	ENTPD8	APRT
hsa00230	ENTPD8	HPRT1
hsa00230	ENTPD8	NT5C1B-RDH14
hsa00230	CANT1	APRT
hsa00230	CANT1	HPRT1
hsa00230	CANT1	NT5C1B-RDH14
hsa00230	GUK1	APRT
hsa00230	GUK1	HPRT1
hsa00230	GUK1	NT5C1B-RDH14
hsa00230	APRT	NT5C1B-RDH14
hsa00230	HPRT1	NT5C1B-RDH14
hsa00230	NT5C1B-RDH14	PNP
hsa00230	PNP	APRT
hsa00230	PNP	HPRT1
hsa00230	PNP	GDA
hsa00230	NT5C1B-RDH14	PNP
hsa00230	DGUOK	PNP
hsa00230	GUK1	ITPA
hsa00230	GUK1	NT5C1B-RDH14
hsa00230	GUK1	DGUOK
hsa00230	ITPA	NT5C1B-RDH14
hsa00230	ITPA	DGUOK
hsa00230	GUK1	NME6
hsa00230	PKLR	GUK1
hsa00230	RRM2B	NME6
hsa00230	RRM2B	PKLR
hsa00230	RRM2B	GUK1
hsa00230	NME6	NUDT2
hsa00230	PKLR	NUDT2
hsa00230	ENTPD8	NUDT2
hsa00230	PRUNE1	HDDC3
hsa00230	ADCY1	PDE10A
hsa00230	GUCY1A2	PDE10A
hsa00230	GUCY1A2	NME6
hsa00230	GUCY1A2	PKLR
hsa00230	GUCY1A2	ENTPD8
hsa00230	GUCY1A2	NUDT2
hsa00230	ADCY1	NME6
hsa00230	ADCY1	PKLR
hsa00230	ADCY1	ENTPD8
hsa00230	ADCY1	NUDT2
hsa00230	GUCY1A2	ITPA
hsa00230	ITPA	NME6
hsa00230	ITPA	PKLR
hsa00230	ITPA	ENTPD8
hsa00230	ITPA	NUDT2
hsa00230	ITPA	ADCY1
hsa00230	ENTPD8	RRM2B
hsa00230	ENTPD8	ENTPD8
hsa00230	ENTPD8	PKLR
hsa00230	ENTPD8	NME6
hsa00230	CANT1	RRM2B
hsa00230	CANT1	ENTPD8
hsa00230	CANT1	PKLR
hsa00230	CANT1	NME6
hsa00230	GUK1	RRM2B
hsa00230	GUK1	ENTPD8
hsa00230	GUK1	PKLR
hsa00230	GUK1	NME6
hsa00230	RRM2B	ENTPD8
hsa00230	RRM2B	PKLR
hsa00230	RRM2B	NME6
hsa00230	AMPD1	Arginine biosynthesis
hsa00230	PAICS	Thiamine metabolism
hsa00230	GART	Thiamine metabolism
hsa00230	GART	Alanine
hsa00230	PPAT	Alanine
hsa00230	PPAT	Pentose phosphate pathway
hsa00230	PRPS1L1	Pentose phosphate pathway
hsa00230	Folate biosynthesis	NUDT2
hsa00230	Folate biosynthesis	ENTPD8
hsa00230	Folate biosynthesis	PKLR
hsa00230	Folate biosynthesis	NME6
hsa00230	Folate biosynthesis	ITPA
hsa00230	Folate biosynthesis	GUCY1A2
hsa00230	Folate biosynthesis	ADCY1
hsa00230	Riboflavin metabolism	NUDT2
hsa00230	Riboflavin metabolism	ENTPD8
hsa00230	Riboflavin metabolism	PKLR
hsa00230	Riboflavin metabolism	NME6
hsa00230	Riboflavin metabolism	ITPA
hsa00230	Riboflavin metabolism	GUCY1A2
hsa00230	Riboflavin metabolism	ADCY1
hsa00230	HDDC3	NME6
hsa00230	HDDC3	PKLR
hsa00230	HDDC3	ENTPD8
hsa00230	HDDC3	RRM2B
hsa00230	HDDC3	GUK1
hsa00230	HDDC3	CANT1
hsa00230	HDDC3	ENTPD8
hsa00230	ITPA	PKLR
hsa00230	ITPA	NME6
hsa00230	GDA	APRT
hsa00230	GDA	HPRT1
hsa00230	GDA	PNP
hsa00230	PNP	APRT
hsa00230	PNP	HPRT1
hsa00230	PNP	PNP
hsa00230	PNP	PNP
hsa00230	NME6	ADCY1
hsa00230	AK6	PDE10A
hsa00230	AK6	ADSL
hsa00230	ENTPD8	PDE10A
hsa00230	ENTPD8	ADSL
hsa00230	PDE10A	ADSL
hsa00230	PDE10A	AMPD1
hsa00230	PDE10A	ADK
hsa00230	PDE10A	DCK
hsa00230	PDE10A	NT5C1B-RDH14
hsa00230	PDE10A	APRT
hsa00230	ADSL	AMPD1
hsa00230	ADSL	ADK
hsa00230	ADSL	DCK
hsa00230	ADSL	NT5C1B-RDH14
hsa00230	ADSL	APRT
hsa00230	DCK	NT5C1B-RDH14
hsa00230	NME6	PKLR
hsa00230	NME6	ENTPD2
hsa00230	NME6	NTPCR
hsa00230	PKLR	ENTPD2
hsa00230	PKLR	NTPCR
hsa00230	ENTPD2	NTPCR
hsa00230	ENTPD8	GUK1
hsa00230	PRPS1L1	PGM1
hsa00230	PGM1	NUDT5
hsa00230	PDE7B	ADCY1
hsa00230	PDE7B	ADSL
hsa00230	PDE7B	ENTPD8
hsa00230	PDE7B	AK6
hsa00230	PDE7B	APRT
hsa00230	PDE7B	NT5C1B-RDH14
hsa00230	PDE7B	DCK
hsa00230	PDE7B	ADK
hsa00230	PDE7B	AMPD1
hsa00230	ENTPD8	AK6
hsa00230	NT5C1B-RDH14	ADK
hsa00230	NUDT16	NME6
hsa00230	ITPA	NUDT16
hsa00230	NME6	NUDT16
hsa00230	ENTPD8	NUDT16
hsa00230	ADSSL1	NUDT16
hsa00230	ATIC	NUDT16
hsa00230	NUDT16	ITPA
hsa00230	NUDT16	AMPD1
hsa00230	NUDT16	NT5C1B-RDH14
hsa00230	NUDT16	HPRT1
hsa00230	NUDT16	IMPDH1
hsa00230	AK3	RRM2B
hsa00230	AK3	PKLR
hsa00230	AK3	NME6
hsa00230	AK3	ENTPD8
hsa00230	NME6	ENTPD8
hsa00230	AK3	ENTPD2
hsa00230	AK3	NTPCR
hsa00230	AK3	ADSL
hsa00230	AK3	AMPD1
hsa00230	AK3	ADK
hsa00230	AK3	NT5C1B-RDH14
hsa00230	AK3	APRT
hsa00230	AK3	DCK
hsa00230	AK3	PDE7B
hsa00230	AK3	PDE10A
hsa00230	ENTPD8	ENPP1
hsa00230	ENPP1	NUDT2
hsa00230	PKLR	ENPP1
hsa00230	NME6	ENPP1
hsa00230	Folate biosynthesis	ENPP1
hsa00230	Riboflavin metabolism	ENPP1
hsa00230	GUCY1A2	ENPP1
hsa00230	ADCY1	ENPP1
hsa00230	ENPP1	PDE10A
hsa00230	APRT	ENPP1
hsa00230	NT5C1B-RDH14	ENPP1
hsa00230	HPRT1	ENPP1
hsa00230	GMPS	ENPP1
hsa00230	GMPR	ENPP1
hsa00230	ENPP1	PDE7B
hsa00230	ENPP1	PDE10A
hsa00230	ENPP1	ADSL
hsa00230	ENPP1	AMPD1
hsa00230	ENPP1	NT5C1B-RDH14
hsa00230	ENPP1	DCK
hsa00230	ENPP1	ADK
hsa00230	APRT	ENPP1
hsa00230	AK6	ENPP1
hsa00230	ENTPD8	ENPP1
hsa00230	AK3	ENPP1
hsa00230	NUDT16	GMPR
hsa00230	Riboflavin metabolism	Folate biosynthesis
hsa00190	TCIRG1	PPA2
hsa00190	ATP12A	PPA2
hsa04145	TUBA1B	TUBB3
hsa04721	C00076	SYT1
hsa04721	VAMP2	STX1B
hsa04721	STX1B	SNAP25
hsa04721	STX1B	VAMP2
hsa04721	RAB3A	RIMS1
hsa04721	STXBP1	STX1B
hsa04721	STX1B	SNAP25
hsa04721	CLTA	AP2M1
hsa05110	TCIRG1	C00080
hsa05110	TCIRG1	C00080
hsa05110	KCNQ1	C00238
hsa05110	KCNQ1	C00238
hsa05110	SLC12A2	C00238
hsa05110	SLC12A2	C00238
hsa05110	SLC12A2	C01330
hsa05110	SLC12A2	C01330
hsa05110	SLC12A2	C00698
hsa05110	SLC12A2	C00698
hsa05110	CFTR	C00698
hsa05110	CFTR	C00698
hsa05110	SLC12A2	PRKACA
hsa05110	SLC12A2	PRKACA
hsa05110	SLC12A2	PRKACA
hsa05110	KCNQ1	PRKACA
hsa05110	KCNQ1	PRKACA
hsa05110	KCNQ1	PRKACA
hsa05110	PRKACA	ADCY3
hsa05110	PRKACA	ADCY3
hsa05110	PRKACA	ADCY3
hsa05110	KCNQ1	SLC12A2
hsa05110	KCNQ1	SLC12A2
hsa05110	KCNQ1	SLC12A2
hsa05110	SLC12A2	ADCY3
hsa05110	SLC12A2	ADCY3
hsa05110	SLC12A2	ADCY3
hsa05110	KCNQ1	ADCY3
hsa05110	KCNQ1	ADCY3
hsa05110	KCNQ1	ADCY3
hsa05110	PRKCA	PLCG1
hsa05110	PRKCA	PLCG1
hsa05110	PRKCA	PLCG1
hsa05110	PRKCA	PLCG1
hsa05110	PRKCA	PLCG1
hsa05110	PRKCA	PLCG1
hsa05110	ERO1A	PDIA4
hsa05110	GNAS	ADCY3
hsa05110	PRKACA	CFTR
hsa05110	PRKACA	CFTR
hsa05110	PRKCA	ACTB
hsa05110	PRKCA	ACTB
hsa05120	PTPRZ1	GIT1
hsa05120	PTPRZ1	GIT1
hsa05120	PAK1	MAP3K14
hsa05120	MAP2K4	MAPK8
hsa05120	MAP2K4	MAPK8
hsa05120	MAPK8	JUN
hsa05120	CXCL8	CXCR1
hsa05120	CXCR1	ADAM10
hsa05120	ADAM10	HBEGF
hsa05120	HBEGF	EGFR
hsa05120	ADAM17	HBEGF
hsa05120	CSK	LYN
hsa05120	IGSF5	TJP1
hsa05120	NFKBIA	NFKB1
hsa05120	CHUK	NFKBIA
hsa05120	CHUK	NFKBIA
hsa05120	IKBKB	NFKBIA
hsa05120	IKBKB	NFKBIA
hsa05120	JUN	CXCL8
hsa05120	JUN	CXCL1
hsa05120	NFKB1	CCL5
hsa05120	NFKB1	CXCL1
hsa05120	NFKB1	CXCL8
hsa05120	PAK1	MAP2K4
hsa05120	PAK1	MAP2K4
hsa05120	NOD1	NFKB1
hsa05120	MAPK14	CXCL8
hsa05120	MAPK14	CXCL1
hsa05152	TNF	TNFRSF1A
hsa05152	CASP8	CASP10
hsa05152	CASP8	BID
hsa05152	CASP8	CASP3
hsa05152	IFNGR2	JAK1
hsa05152	JAK1	STAT1
hsa05152	JAK1	STAT1
hsa05152	CAMK2A	STAT1
hsa05152	CAMK2A	STAT1
hsa05152	SYK	CARD9
hsa05152	NOD2	RIPK2
hsa05152	HSPA9	TLR4
hsa05152	HSPD1	TLR4
hsa05152	CD14	TLR4
hsa05152	CD14	TLR2
hsa05152	IRAK4	IRAK1
hsa05152	IRAK1	TRAF6
hsa05152	TLR9	MYD88
hsa05152	RIPK2	NFKB1
hsa05152	RIPK2	NFKB1
hsa05152	TRAF6	NFKB1
hsa05152	TRAF6	NFKB1
hsa05152	TRAF6	MAPK14
hsa05152	TRAF6	MAPK14
hsa05152	TRAF6	MAPK1
hsa05152	TRAF6	MAPK1
hsa05152	TRAF6	MAPK8
hsa05152	TRAF6	MAPK8
hsa05152	RIPK2	MAPK14
hsa05152	RIPK2	MAPK14
hsa05152	RIPK2	MAPK1
hsa05152	RIPK2	MAPK1
hsa05152	RIPK2	MAPK8
hsa05152	RIPK2	MAPK8
hsa05152	RHOA	RAF1
hsa05152	RHOA	RAF1
hsa05152	RAF1	NFKB1
hsa05152	RAF1	NFKB1
hsa05152	CLEC4M	IL10
hsa05152	CLEC4M	IL10
hsa05152	CLEC4M	TGFB1
hsa05152	CLEC4M	TGFB1
hsa05152	C3	CR1
hsa05152	PLA2R1	IL10
hsa05152	PLA2R1	IL10
hsa05152	PLA2R1	TGFB1
hsa05152	PLA2R1	TGFB1
hsa05152	CALML6	CAMK2A
hsa05152	CALML6	PPP3CA
hsa05152	CAMK2A	PIK3C3
hsa05152	C04549	EEA1
hsa05152	C04549	EEA1
hsa05152	RAB7A	CTSD
hsa05152	RAB7A	CTSD
hsa05152	RAB7A	TCIRG1
hsa05152	RAB7A	TCIRG1
hsa05152	RAB7A	LAMP1
hsa05152	RAB7A	LAMP1
hsa05152	SPHK2	C06124
hsa05152	C00076	CALML6
hsa05152	IGH	FCGR1A
hsa05152	VDR	CAMP
hsa05152	VDR	CAMP
hsa05152	C01194	PIK3C3
hsa05152	TNFRSF1A	FADD
hsa05152	TLR4	MYD88
hsa05152	BID	BAX
hsa05152	BID	BAX
hsa05152	C00076	CASP9
hsa05152	C00076	CASP9
hsa05152	AKT3	BAD
hsa05152	AKT3	BAD
hsa05152	BAD	BCL2
hsa05152	CYCS	CASP3
hsa05152	C00076	CAMK2A
hsa05152	C00076	CAMK2A
hsa05152	CIITA	RFX5...
hsa05152	CIITA	NFYA
hsa05152	CIITA	CREB1
hsa05152	CEBPB	CIITA
hsa05152	RFX5...	HLA-DMA
hsa05152	RFX5...	CD74
