	pathway	gene1	gene2
73	hsa04010	MAP3K7	CHUK
74	hsa04010	MAP3K7	MAP2K3
75	hsa04010	MAP3K7	MAP2K6
76	hsa04010	MAP3K7	NLK
77	hsa04010	MAP3K6	MAP2K3
78	hsa04010	MAP3K6	MAP2K6
79	hsa04010	MAP2K3	MAPK14
80	hsa04010	MAP2K6	MAPK14
81	hsa04010	MAPK14	ATF2
82	hsa04010	MAPK14	ELK1
83	hsa04010	MAPK14	TP53
84	hsa04010	MAPK14	ELK4
85	hsa04010	MAPK14	DDIT3
86	hsa04010	MAPK14	MAX
87	hsa04010	MAPK14	MEF2C
88	hsa04010	MAPK14	MAPKAPK5
89	hsa04010	MAPK14	MAPKAPK3
90	hsa04010	MAPK14	RPS6KA4
91	hsa04010	MAPK14	CDC25B
92	hsa04010	MAPKAPK5	HSPB1
93	hsa04010	MAPKAPK3	HSPB1
94	hsa04010	MAPKAPK3	ATF4
95	hsa04010	RPS6KA4	ATF4
96	hsa04010	MAP2K5	MAPK7
97	hsa04010	MAPK7	NR4A1
98	hsa04010	MAP3K8	MAP3K14
99	hsa04010	MAP3K8	CHUK
100	hsa04010	MAP3K8	MAP2K1
101	hsa04010	MAP3K8	MAP2K2
102	hsa04010	MAP3K1	CHUK
103	hsa04010	MAP3K1	MAP2K4
104	hsa04010	MAP3K11	MAP2K7
105	hsa04010	MAP3K1	MAP2K1
106	hsa04010	MAP3K1	MAP2K2
107	hsa04010	MAP2K4	MAPK8
108	hsa04010	MAP2K7	MAPK8
109	hsa04010	MAPK8	FOS
110	hsa04010	MAPK8	JUND
111	hsa04010	MAPK8	ELK1
112	hsa04010	MAPK8	TP53
113	hsa04010	MAPK8	NFATC1
115	hsa04010	MAPK8	NFATC3
117	hsa04010	PPP3CA	NFATC1
118	hsa04010	AKT3	MAP3K5
120	hsa04010	AKT3	MAP2K4
122	hsa04010	PPP3CA	NFATC3
123	hsa04010	RASA2	RRAS2
124	hsa04010	NF1	RRAS2
125	hsa04010	RASA1	RRAS2
126	hsa04010	DUSP3	MAPK1
128	hsa04010	DUSP10	MAPK1
130	hsa04010	DUSP10	MAPK8
132	hsa04010	DUSP10	MAPK14
134	hsa04010	DUSP3	MAPK8
136	hsa04010	DUSP3	MAPK14
138	hsa04010	PPM1A	MAP2K3
140	hsa04010	PPM1A	MAP2K6
142	hsa04010	PPM1A	MAP2K7
144	hsa04010	PPM1A	MAP2K4
146	hsa04010	PPP5D1...	MAP3K5
148	hsa04010	PPM1B	MAP3K7
150	hsa04010	MECOM	MAPK8
151	hsa04010	HSPA1A	MAPK8
152	hsa04010	CD14	TAB1
153	hsa04010	MAP3K14	NFKB1
154	hsa04010	CHUK	NFKB1
155	hsa04010	CACNG3...	RASGRF1
156	hsa04010	CACNG3...	RASGRP1
157	hsa04010	C00338	CD14
158	hsa04010	C00575	RAPGEF2
159	hsa04010	C00165	PRKCA
160	hsa04010	C00165	PRKACA
161	hsa04010	C00575	PRKACA
162	hsa04010	CASP3	PAK1
163	hsa04010	CASP3	MAP3K1
164	hsa04010	MAP3K14	CHUK
165	hsa04010	TAB1	MAP3K7
166	hsa04010	TAB2	MAP3K7
167	hsa04010	TRADD	TRAF2
168	hsa04010	TRADD	CASP3
170	hsa04010	IL1R1	MYD88
171	hsa04010	MYD88	IRAK1
172	hsa04010	TRAF2	TAB1
173	hsa04010	IRAK1	TRAF6
175	hsa04010	TRAF6	TAB1
176	hsa04010	CSF1	CSF1R
177	hsa04010	RRAS2	ARAF
178	hsa04010	ARAF	MAP2K1
180	hsa04010	ARAF	MAP2K2
182	hsa04010	MAP3K4	MAP2K3
184	hsa04010	MAP3K4	MAP2K6
186	hsa04010	TAOK3	MAP2K3
188	hsa04010	TAOK3	MAP2K6
190	hsa04141	SEC31A	SEC24B
191	hsa04141	SEC31A	SAR1B
192	hsa04141	EIF2AK1	EIF2S1
194	hsa04141	EIF2S1	ATF4
195	hsa04141	EIF2AK1	NFE2L2
196	hsa04141	NFE2L2	DDIT3
197	hsa04141	ATF4	DDIT3
198	hsa04141	ATF6B	DDIT3
199	hsa04141	ERN1	TRAF2
200	hsa04141	TRAF2	MAP3K5
201	hsa04141	MAP3K5	MAP2K7
202	hsa04141	MAP2K7	MAPK8
203	hsa04141	CAPN1	CASP12
204	hsa04141	ERN1	XBP1
205	hsa04141	XBP1	DDIT3
206	hsa04141	ATF4	PPP1R15A
207	hsa04141	PPP1R15A	EIF2S1
209	hsa04141	DDIT3	BCL2
210	hsa04141	BCL2	BAK1
211	hsa04141	ERO1A	PDIA6
212	hsa04141	NPLOC4	VCP
213	hsa04141	PREB	SAR1B
214	hsa04141	SVIP	NSFL1C
215	hsa04141	SVIP	VCP
216	hsa04141	WFS1	ATF6B
217	hsa04141	NPLOC4	UFD1
218	hsa04141	SVIP	NPLOC4
219	hsa04141	BAK1	CAPN1
220	hsa04141	NSFL1C	VCP
221	hsa04144	RNF41	EGFR
222	hsa04144	RBSN	RAB4A
223	hsa04144	RAB4A	RUFY1
224	hsa04144	EHD3	RBSN
225	hsa04144	RBSN	EHD1
226	hsa04144	EHD1	RAB11FIP2
227	hsa04144	RAB11FIP2	RAB11A
228	hsa04144	MVB12B	PDCD6IP
229	hsa04144	CHMP4B	PDCD6IP
230	hsa04144	HGS	STAM2
231	hsa04144	VPS4A	VTA1
232	hsa04144	CHMP5	VPS4A
233	hsa04144	CHMP1A	CHMP2B
234	hsa04144	CHMP7	CHMP4B
235	hsa04144	TGFBR1	SMAD2
236	hsa04144	SRC	CAV1
237	hsa04144	RHOA	IL2RA
238	hsa04144	VPS45	RBSN
239	hsa04213	INS	INSR
240	hsa04213	INSR	IRS1
241	hsa04213	IRS1	PIK3CA
242	hsa04213	PIK3CA	C05981
243	hsa04213	C05981	AKT3
244	hsa04213	AKT3	ADCY1
245	hsa04213	ADCY1	C00575
246	hsa04213	C00575	PRKACA
247	hsa04213	IGF1	IGF1R
248	hsa04213	IGF1R	HRAS
249	hsa04213	HRAS	PIK3CA
251	hsa04213	IGF1R	IRS1
253	hsa04213	IGF1R	PIK3CA
258	hsa04213	INSR	PIK3CA
262	hsa04213	SIRT1	FOXO3
263	hsa04213	SIRT1	FOXO1
264	hsa04213	PRKACA	FOXO1
266	hsa04213	AKT3	FOXO1
268	hsa04213	AKT3	FOXO3
272	hsa04213	AKT3	MTOR
274	hsa04213	MTOR	RPS6KB1
284	hsa04213	AKT3	PRKAG2
286	hsa04213	PRKAG2	MTOR
288	hsa04213	MTOR	EIF4EBP2
289	hsa04213	RPS6KB1	FOXA2
290	hsa04213	HDAC1	SIRT1
292	hsa04213	FOXO1	SOD2
293	hsa04213	FOXO1	CAT
294	hsa04213	FOXO1	ATG5
295	hsa04213	FOXO3	SOD1
296	hsa04213	FOXO3	CRYAB
297	hsa04213	EIF4EBP2	SOD1
298	hsa04213	EIF4EBP2	CRYAB
299	hsa04213	FOXO3	SOD2
300	hsa04213	FOXO3	CAT
301	hsa04213	FOXA2	SOD2
302	hsa04213	FOXA2	CAT
303	hsa04612	HLA-A	HLA-A
307	hsa04612	HLA-DMA	HLA-DMA
309	hsa04612	CD74	CD74
312	hsa04612	IFNG	PSME3
313	hsa04612	TNF	PSME3
314	hsa04612	CIITA	RFX5...
315	hsa04612	CIITA	CREB1
316	hsa04612	CIITA	NFYA
317	hsa04612	HLA-A	KIR2DS2
318	hsa04612	CD8A	HLA-A
319	hsa04612	CD4	HLA-DMA
320	hsa04612	HLA-DMA	CD74
321	hsa04612	CTSB	CD74
322	hsa04612	LGMN	CD74
323	hsa04612	TAPBP	HLA-A
324	hsa04612	TAPBP	TAP1
325	hsa04915	C00951	ESR1
327	hsa04915	ESR1	FOS
328	hsa04915	C00951	GPER1
329	hsa04915	GPER1	GNAS
330	hsa04915	GNAS	SRC
331	hsa04915	SRC	MMP2
332	hsa04915	MMP2	HBEGF
333	hsa04915	HBEGF	HBEGF
334	hsa04915	GNAS	ADCY1
335	hsa04915	ADCY1	C00575
336	hsa04915	C00575	PRKACA
337	hsa04915	HBEGF	EGFR
338	hsa04915	EGFR	SHC2
339	hsa04915	SHC2	GRB2
340	hsa04915	GRB2	SOS1
341	hsa04915	SOS1	HRAS
342	hsa04915	HRAS	RAF1
343	hsa04915	RAF1	MAP2K1
344	hsa04915	MAP2K1	MAPK1
345	hsa04915	EGFR	PIK3CA
346	hsa04915	C00334	GABBR1
347	hsa04915	GABBR1	GNAI1
348	hsa04915	GNAI1	KCNJ3
349	hsa04915	OPRM1	GNAI1
353	hsa04915	GNAQ	PLCB1
354	hsa04915	PLCB1	C00165
355	hsa04915	C00165	PRKCD
356	hsa04915	PRKCD	ADCY1
357	hsa04915	PLCB1	C01245
358	hsa04915	C01245	ITPR1
359	hsa04915	C00076	CALML6
360	hsa04915	CALML6	NOS3
361	hsa04915	GRM1	GNAQ
363	hsa04915	ESR1	SRC
364	hsa04915	SRC	PIK3CA
365	hsa04915	AKT3	NOS3
366	hsa04915	NOS3	C00533
367	hsa04915	C00533	CREB3
368	hsa04915	SRC	HRAS
372	hsa04915	PRKACA	RAF1
373	hsa04915	PRKACA	KCNJ3
374	hsa04915	PIK3CA	AKT3
378	hsa04915	MAPK1	ESR1
382	hsa04915	MAPK1	CREB3
384	hsa04915	PRKACA	CREB3
388	hsa04915	POMC	OPRM1
389	hsa05134	APAF1	CASP9
390	hsa05134	CYCS	CASP9
391	hsa05134	CASP9	CASP3
392	hsa05134	EEF1A1	HSF1
393	hsa05134	CASP1	IL18
394	hsa05134	CASP1	IL1B
395	hsa05134	NAIP	CASP7
397	hsa05134	NAIP	CASP1
399	hsa05134	CASP1	CASP7
401	hsa05134	CD14	TLR2
402	hsa05134	CD14	TLR4
403	hsa05134	TLR5	MYD88
404	hsa05134	TLR2	MYD88
405	hsa05134	TLR4	MYD88
406	hsa05134	C3	CR1
407	hsa05134	NFKBIA	NFKB1
408	hsa05134	HSF1	HSPA1A
409	hsa05134	MYD88	TNF
411	hsa05134	MYD88	IL1B
413	hsa05134	MYD88	IL6
415	hsa05134	MYD88	IL12A
417	hsa05134	MYD88	CXCL8
419	hsa05134	MYD88	CXCL1
421	hsa05145	IFNG	IFNGR1
422	hsa05145	IFNGR1	JAK1
423	hsa05145	JAK1	STAT1
425	hsa05145	STAT1	CIITA
426	hsa05145	SOCS1	JAK1
428	hsa05145	MYD88	IRAK1
429	hsa05145	IRAK1	TRAF6
430	hsa05145	MAP3K7	MAP2K3
432	hsa05145	MAP2K3	MAPK14
434	hsa05145	MAP3K7	MAPK8
437	hsa05145	MAP3K7	MAPK1
440	hsa05145	MAP3K7	CHUK
442	hsa05145	CHUK	NFKBIA
444	hsa05145	NFKBIA	NFKB1
445	hsa05145	LY96	TLR4
446	hsa05145	TLR4	MYD88
447	hsa05145	HSPA1A	TLR2
448	hsa05145	TLR2	MYD88
449	hsa05145	LAMC3	ITGA6
450	hsa05145	TNF	TNFRSF1A
451	hsa05145	TNFRSF1A	CASP8
453	hsa05145	CYCS	CASP9
454	hsa05145	CASP9	CASP3
455	hsa05145	CASP8	CASP3
456	hsa05145	GNAI1	PIK3R6
458	hsa05145	PIK3R6	PDPK1
460	hsa05145	PDPK1	AKT3
462	hsa05145	AKT3	BAD
464	hsa05145	CD40LG	CD40
465	hsa05145	PPIF	CCR5
466	hsa05145	CCR5	GNAI1
467	hsa05145	IL10	IL10RA
468	hsa05145	IL10RA	JAK1
469	hsa05145	JAK1	STAT3
471	hsa05145	BIRC8	CASP9
472	hsa05145	BIRC8	CASP3
473	hsa05145	CIITA	HLA-DMA
474	hsa05145	STAT1	IRGM
475	hsa05145	STAT1	NOS2
476	hsa05145	NFKB1	NOS2
477	hsa05145	NFKB1	IL12A
478	hsa05145	NFKB1	TNF
479	hsa05145	NFKB1	BCL2
480	hsa05145	NFKB1	BIRC8
481	hsa05145	STAT3	IL12A
483	hsa05145	GNAI1	IL12A
485	hsa05145	CD40	IL12A
487	hsa05162	CD46	MSN
488	hsa05162	STAT1	IRF9
489	hsa05162	IFNAR1	JAK1
490	hsa05162	IL2RA	JAK1
491	hsa05162	DDX58	MAVS
492	hsa05162	IFIH1	MAVS
493	hsa05162	MAVS	TRAF3
494	hsa05162	MAVS	CHUK
495	hsa05162	CHUK	NFKBIA
496	hsa05162	TLR7	MYD88
497	hsa05162	MYD88	IRAK1
498	hsa05162	IRAK1	IRF7
499	hsa05162	TLR2	MYD88
501	hsa05162	IRAK1	TRAF6
502	hsa05162	MAPK8	FOS
504	hsa05162	FASLG	FAS
505	hsa05162	FAS	FADD
506	hsa05162	TRADD	FADD
507	hsa05162	FADD	CASP8
508	hsa05162	CASP8	CASP3
509	hsa05162	CASP8	BID
510	hsa05162	BID	BAX
511	hsa05162	BID	BAK1
512	hsa05162	CYCS	CASP9
513	hsa05162	APAF1	CASP9
514	hsa05162	CASP9	CASP3
515	hsa05162	IL2	IL2RA
516	hsa05162	PIK3CA	C05981
517	hsa05162	C05981	AKT3
518	hsa05162	JAK1	STAT1
520	hsa05162	EIF2AK1	EIF2S1
522	hsa05162	JAK1	STAT3
524	hsa05162	BAD	BCL2
525	hsa05162	BAD	BCL2L1
526	hsa05162	BCL2	BAX
527	hsa05162	BCL2	BAK1
528	hsa05162	IFNA1	IFNAR1
529	hsa05162	IRF3	IFNA1
530	hsa05162	IRF3	IFNB1
531	hsa05162	NFKB1	IFNA1
532	hsa05162	NFKB1	IFNB1
533	hsa05162	IRF7	IFNA1
534	hsa05162	IRF7	IFNB1
535	hsa05162	FOS	IL1A
536	hsa05162	FOS	IL6
537	hsa05162	FOS	IL12A
538	hsa05162	NFKB1	IL1A
539	hsa05162	NFKB1	IL6
540	hsa05162	NFKB1	IL12A
541	hsa05162	IRF9	OAS1
542	hsa05162	IRF9	ADAR
543	hsa05162	IRF9	MX1
544	hsa05162	IRF9	EIF2AK1
545	hsa05162	TP73	BBC3
546	hsa05162	CD28	PIK3CA
548	hsa05162	TNFAIP3	TRAF6
549	hsa05162	RCHY1	TP53
551	hsa05162	CBLB	PIK3CA
553	hsa05162	AKT3	GSK3B
555	hsa05162	SLAMF1	IL12A
557	hsa05162	FCGR2B	IL12A
559	hsa05162	RACK1	IFNAR1
560	hsa05162	RACK1	STAT1
561	hsa05164	DNAJC3	EIF2AK1
562	hsa05164	OAS1	RNASEL
564	hsa05164	EIF2AK1	EIF2S1
566	hsa05164	EIF2AK1	MAP2K3
568	hsa05164	EIF2AK1	MAP2K7
570	hsa05164	MAP2K3	MAPK14
572	hsa05164	MAP2K7	MAPK8
574	hsa05164	MAPK8	ATF2
576	hsa05164	TRIM25	DDX58
578	hsa05164	IFIH1	MAVS
579	hsa05164	EIF2AK1	NFKBIA
581	hsa05164	IKBKB	NFKBIA
583	hsa05164	TLR3	TICAM1
584	hsa05164	TLR3	MAP2K3
586	hsa05164	TLR3	MAP2K7
588	hsa05164	TLR3	PIK3CA
590	hsa05164	PIK3CA	AKT3
592	hsa05164	AKT3	IRF3
595	hsa05164	TLR7	MYD88
596	hsa05164	MYD88	IRAK4
597	hsa05164	IRAK4	IRF7
598	hsa05164	TLR4	TICAM1
599	hsa05164	DDX58	SOCS3
601	hsa05164	IFNB1	IFNAR1
602	hsa05164	IFNG	IFNGR1
603	hsa05164	IFNAR1	JAK1
604	hsa05164	IFNGR1	JAK1
605	hsa05164	SOCS3	JAK1
606	hsa05164	JAK1	STAT1
610	hsa05164	STAT1	CIITA
611	hsa05164	STAT1	IRF9
612	hsa05164	CASP1	IL1B
614	hsa05164	CASP1	IL18
616	hsa05164	CASP1	IL33
618	hsa05164	TNFSF10	TNFRSF10B
619	hsa05164	FASLG	FAS
620	hsa05164	CYCS	CASP9
621	hsa05164	PIK3CA	CASP9
623	hsa05164	PRKCA	RAF1
625	hsa05164	RAF1	MAP2K1
627	hsa05164	MAP2K1	MAPK1
629	hsa05164	DDX58	MAP2K3
631	hsa05164	NFKBIA	NFKB1
632	hsa05164	RSAD2	FDPS
633	hsa05164	NUP98	RAE1
634	hsa05164	PIK3CA	GSK3B
636	hsa05164	DDX58	MAVS
637	hsa05164	DDX58	MAP2K7
639	hsa05164	MAVS	IKBKB
641	hsa05164	TICAM1	IKBKB
643	hsa05164	IFNB1	RSAD2
645	hsa05164	ATF2	IL1A
646	hsa05164	ATF2	IL6
647	hsa05164	ATF2	IL12A
648	hsa05164	ATF2	TNF
649	hsa05164	ATF2	CXCL8
650	hsa05164	ATF2	CCL2
651	hsa05164	ATF2	CCL5
652	hsa05164	ATF2	CXCL10
653	hsa05164	ATF2	ICAM1
654	hsa05164	NFKB1	IL1A
655	hsa05164	NFKB1	IL6
656	hsa05164	NFKB1	IL12A
657	hsa05164	NFKB1	TNF
658	hsa05164	NFKB1	CXCL8
659	hsa05164	NFKB1	CCL2
660	hsa05164	NFKB1	CCL5
661	hsa05164	NFKB1	CXCL10
662	hsa05164	NFKB1	ICAM1
663	hsa05164	IRF3	IFNA1
664	hsa05164	IRF3	IFNB1
665	hsa05164	IRF7	IFNA1
666	hsa05164	IRF7	IFNB1
667	hsa05164	IRF9	MX1
668	hsa05164	IRF9	OAS1
669	hsa05164	IRF9	ADAR
670	hsa05164	IRF9	PML
671	hsa05164	CIITA	HLA-DMA
672	hsa04918	CGA	TSHR
673	hsa04918	TSHR	GNAS
674	hsa04918	GNAS	ADCY1
675	hsa04918	ADCY1	C00575
676	hsa04918	C00575	PRKACA
677	hsa04918	PRKACA	TTF1
678	hsa04918	PRKACA	TTF2
679	hsa04918	PRKACA	PAX8
680	hsa04918	PRKACA	CREB3
681	hsa04918	TSHR	GNAQ
682	hsa04918	GNAQ	PLCB1
683	hsa04918	PLCB1	C00165
684	hsa04918	C00165	PRKCA
685	hsa04918	PRKCA	TTF1
686	hsa04918	PRKCA	TTF2
687	hsa04918	PRKCA	PAX8
688	hsa04918	PRKCA	CREB3
689	hsa04918	PLCB1	C01245
690	hsa04918	C01245	ITPR1
691	hsa04918	TTF1	TG
692	hsa04918	TTF2	TG
693	hsa04918	PAX8	TG
694	hsa04918	CREB3	TG
695	hsa04918	ASGR1	TG
696	hsa04918	DUOXA2	DUOX2
697	hsa04918	C02515	TG
698	hsa04918	C01060	TG
701	hsa04918	C02465	TG
702	hsa04918	C01829	TG
707	hsa04918	LRP2	TG
708	hsa05200	CASP3	DCC
709	hsa05200	PTK2	PIK3CA
710	hsa05200	ABL1	STAT5A
711	hsa05200	ABL1	GRB2
712	hsa05200	TGFA	EGFR
713	hsa05200	PDGFA	PDGFRA
714	hsa05200	IGF1	IGF1R
715	hsa05200	HGF	MET
716	hsa05200	EGFR	PIK3CA
717	hsa05200	EGFR	JAK1
718	hsa05200	ERBB2	PIK3CA
719	hsa05200	ERBB2	JAK1
720	hsa05200	EGFR	PLCG1
721	hsa05200	PDGFRA	PLCG1
722	hsa05200	PDGFRA	GRB2
723	hsa05200	PDGFRA	PIK3CA
724	hsa05200	IGF1R	PLCG1
725	hsa05200	IGF1R	GRB2
726	hsa05200	IGF1R	PIK3CA
727	hsa05200	KIT	PIK3CA
728	hsa05200	KIT	GRB2
729	hsa05200	FLT3	PIK3CA
730	hsa05200	FLT3	GRB2
731	hsa05200	MET	GRB2
732	hsa05200	FGFR1	GRB2
733	hsa05200	GRB2	SOS1
734	hsa05200	SOS1	HRAS
735	hsa05200	HRAS	ARAF
736	hsa05200	HRAS	PIK3CA
737	hsa05200	HRAS	RASSF1
738	hsa05200	PRKCA	ARAF
739	hsa05200	HRAS	RALGDS
740	hsa05200	RALGDS	RALA
741	hsa05200	RALA	RALBP1
742	hsa05200	RALA	PLD1
743	hsa05200	RALGDS	RHOA
744	hsa05200	FASLG	FAS
745	hsa05200	FAS	FADD
746	hsa05200	FADD	CASP8
747	hsa05200	CASP8	BID
748	hsa05200	CYCS	CASP9
749	hsa05200	DVL1	GSK3B
750	hsa05200	PML	SPI1
751	hsa05200	RUNX1	SPI1
752	hsa05200	RUNX1	CEBPA
753	hsa05200	MDM2	TP53
754	hsa05200	SHH	PTCH1
755	hsa05200	PTCH1	SMO
756	hsa05200	AKT3	GSK3B
758	hsa05200	AKT3	CASP9
760	hsa05200	AKT3	BAD
762	hsa05200	AKT3	FOXO1
764	hsa05200	AKT3	CDKN1B
766	hsa05200	AKT3	CDKN1A
768	hsa05200	AKT3	CHUK
770	hsa05200	CHUK	NFKBIA
772	hsa05200	AKT3	MTOR
774	hsa05200	AKT3	MDM2
776	hsa05200	JAK1	STAT3
778	hsa05200	JAK1	STAT1
780	hsa05200	ARAF	MAP2K1
782	hsa05200	MAP2K1	MAPK1
784	hsa05200	MAPK1	JUN
786	hsa05200	MAPK1	FOS
788	hsa05200	MAPK1	MYC
790	hsa05200	RET	HRAS
791	hsa05200	TFG	HRAS
792	hsa05200	PRKCA	HRAS
794	hsa05200	BAD	BCL2L1
795	hsa05200	RALBP1	RAC1
796	hsa05200	AR	KLK3
797	hsa05200	LEF1	BIRC5
798	hsa05200	LEF1	MYC
799	hsa05200	LEF1	CCND1
800	hsa05200	NFKB1	PTGS2
801	hsa05200	NFKB1	NOS2
802	hsa05200	NFKB1	BCL2
803	hsa05200	NFKB1	BIRC8
804	hsa05200	NFKB1	BCL2L1
805	hsa05200	NFKB1	TRAF1
806	hsa05200	NFKB1	CCND1
807	hsa05200	STAT5A	BCL2L1
808	hsa05200	STAT3	VEGFD
809	hsa05200	STAT1	VEGFD
810	hsa05200	JUN	VEGFD
811	hsa05200	JUN	CXCL8
812	hsa05200	JUN	MMP1
813	hsa05200	JUN	CCND1
814	hsa05200	JUN	CDK4
815	hsa05200	FOS	VEGFD
816	hsa05200	FOS	CXCL8
817	hsa05200	FOS	MMP1
818	hsa05200	FOS	CCND1
819	hsa05200	FOS	CDK4
820	hsa05200	MYC	VEGFD
821	hsa05200	MYC	CXCL8
822	hsa05200	MYC	MMP1
823	hsa05200	MYC	CCND1
824	hsa05200	MYC	CDK4
825	hsa05200	JUP	PPARD
826	hsa05200	JUP	MYC
827	hsa05200	JUP	CCND1
828	hsa05200	ZBTB17	CDKN2B
829	hsa05200	EPAS1	SLC2A1
830	hsa05200	EPAS1	VEGFD
831	hsa05200	EPAS1	PDGFB
832	hsa05200	EPAS1	TGFB1
833	hsa05200	EPAS1	TGFA
834	hsa05200	GLI1	BMP2
835	hsa05200	GLI1	GLI1
836	hsa05200	GLI1	WNT16...
837	hsa05200	GLI1	HHIP
838	hsa05200	GLI1	PTCH1
839	hsa05200	NFKBIA	NFKB1
840	hsa05200	JUP	LEF1
841	hsa05200	SMAD2	SMAD4
842	hsa05200	EPAS1	ARNT
843	hsa05200	EPAS1	CREBBP
844	hsa05200	RARA	JUP
845	hsa05200	PML	JUP
846	hsa05200	RUNX1	JUP
847	hsa05200	C05981	AKT3
848	hsa05200	C00165	PRKCA
849	hsa05200	C00076	PRKCA
850	hsa05200	RB1	E2F1
851	hsa05200	RHOA	MAPK8
852	hsa05200	PPARG	RXRA
853	hsa05200	GSK3B	CTNNB1
854	hsa05200	NKX3-1	AKT3
855	hsa05200	RASSF1	STK4
856	hsa05200	RASSF1	CCND1
857	hsa05200	RASSF1	HRAS
858	hsa05200	DAPK1	MAPK1
859	hsa05200	SPI1	CSF3R
860	hsa05200	SPI1	CSF2RA
861	hsa05200	SPI1	CSF1R
862	hsa05200	CEBPA	CSF3R
863	hsa05200	CEBPA	IL6
864	hsa05200	CEBPA	E2F1
865	hsa05200	CEBPA	MYC
870	hsa05200	RUNX1	CSF1R
871	hsa05200	TP53	CDKN1A
872	hsa05200	CDKN2A	MDM2
873	hsa05200	EGLN2	EPAS1
874	hsa05200	RARA	CCNA1
875	hsa05200	PML	CCNA1
876	hsa05200	KITLG	KIT
877	hsa05200	FLT3LG	FLT3
878	hsa05200	FGF1	FGFR1
879	hsa05200	RASSF5	RASSF1
880	hsa05200	ETS1	VEGFD
881	hsa05200	ETS1	MMP1
882	hsa05200	ETS1	CXCL8
883	hsa05200	ETS1	CCND1
884	hsa05200	ETS1	CDK4
885	hsa05200	BID	CYCS
886	hsa05200	C00535	AR
887	hsa05200	C03917	AR
888	hsa05200	C00951...	AR
889	hsa05200	C00187	SHH
890	hsa05200	C00122	EGLN2
892	hsa05200	PLD1	C00416
893	hsa05200	PTEN	C05981
894	hsa05200	EGF	EGFR
895	hsa05200	PIK3CA	C05981
896	hsa05200	CTNNB1	LEF1
897	hsa05200	MAPK1	ETS1
899	hsa05200	PLCG1	C00165
900	hsa05200	PLCG1	C00076
901	hsa05200	SMO	SUFU
902	hsa05200	SUFU	GLI1
903	hsa05200	KIF7	SUFU
904	hsa05200	JAG1	NOTCH1
905	hsa05200	DLL3	NOTCH1
906	hsa05200	NOTCH1	ERBB2
907	hsa05200	NOTCH1	HES1
908	hsa05200	NOTCH1	HEY1
